invictus@invictus-Nitro-ANV15-51:~/Downloads/module1$ ls
folder1  qn1.sh  qn2.sh  qn3.sh  qn4  qn5  sampleFile2.txt  sampleFile.txt
invictus@invictus-Nitro-ANV15-51:~/Downloads/module1$ mv qn4 qn4.sh
invictus@invictus-Nitro-ANV15-51:~/Downloads/module1$ nano qn4.sh 
invictus@invictus-Nitro-ANV15-51:~/Downloads/module1$ chmod +x qn4.sh 
invictus@invictus-Nitro-ANV15-51:~/Downloads/module1$ cat qn4.sh 
ps aux
invictus@invictus-Nitro-ANV15-51:~/Downloads/module1$ ./qn4.sh 
USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.2  0.0  23280 14296 ?        Ss   19:29   0:11 /sbin/init splash
root          62  0.0  0.0      0     0 ?        I<   19:29   0:00 [kworker/11:0H-events_highpri]
root          63  0.0  0.0      0     0 ?        S    19:29   0:00 [cpuhp/1]
root          64  0.0  0.0      0     0 ?        S    19:29   0:00 [idle_inject/1]
root          65  0.0  0.0      0     0 ?        S    19:29   0:00 [migration/1]
root          66  0.0  0.0      0     0 ?        S    19:29   0:00 [ksoftirqd/1]
root          68  0.0  0.0      0     0 ?        I<   19:29   0:00 [kworker/1:0H-events_highpri]
root          69  0.0  0.0      0     0 ?        S    19:29   0:00 [cpuhp/3]
root          70  0.0  0.0      0     0 ?        S    19:29   0:00 [idle_inject/3]
root          71  0.0  0.0      0     0 ?        S    19:29   0:00 [migration/3]
root          72  0.0  0.0      0     0 ?        S    19:29   0:00 [ksoftirqd/3]
root          74  0.0  0.0      0     0 ?        I<   19:29   0:00 [kworker/3:0H-events_highpri]
root          75  0.0  0.0      0     0 ?        S    19:29   0:00 [cpuhp/5]
root          76  0.0  0.0      0     0 ?        S    19:29   0:00 [idle_inject/5]
root          77  0.0  0.0      0     0 ?        S    19:29   0:00 [migration/5]
root          78  0.0  0.0      0     0 ?        S    19:29   0:00 [ksoftirqd/5]
root          80  0.0  0.0      0     0 ?        I<   19:29   0:00 [kworker/5:0H-events_highpri]
root          81  0.0  0.0      0     0 ?        S    19:29   0:00 [cpuhp/7]
root          82  0.0  0.0      0     0 ?        S    19:29   0:00 [idle_inject/7]
root          83  0.0  0.0      0     0 ?        S    19:29   0:00 [migration/7]
root          84  0.0  0.0      0     0 ?        S    19:29   0:00 [ksoftirqd/7]
root          86  0.0  0.0      0     0 ?        I<   19:29   0:00 [kworker/7:0H-events_highpri]
root          87  0.0  0.0      0     0 ?        S    19:29   0:00 [kdevtmpfs]
root          88  0.0  0.0      0     0 ?        I<   19:29   0:00 [kworker/R-inet_]
root          90  0.0  0.0      0     0 ?        S    19:29   0:00 [kauditd]
root          91  0.0  0.0      0     0 ?        S    19:29   0:00 [khungtaskd]
root          92  0.0  0.0      0     0 ?        S    19:29   0:00 [oom_reaper]
root          94  0.0  0.0      0     0 ?        I<   19:29   0:00 [kworker/R-write]
root          95  0.0  0.0      0     0 ?        S    19:29   0:00 [kcompactd0]
root          96  0.0  0.0      0     0 ?        SN   19:29   0:00 [ksmd]
root          97  0.0  0.0      0     0 ?        SN   19:29   0:00 [khugepaged]
root          98  0.0  0.0      0     0 ?        I<   19:29   0:00 [kworker/R-kinte]
root          99  0.0  0.0      0     0 ?        I<   19:29   0:00 [kworker/R-kbloc]
root         100  0.0  0.0      0     0 ?        I<   19:29   0:00 [kworker/R-blkcg]
root         101  0.0  0.0      0     0 ?        S    19:29   0:00 [irq/9-acpi]
root         105  0.0  0.0      0     0 ?        I<   19:29   0:00 [kworker/R-tpm_d]
root         106  0.0  0.0      0     0 ?        I<   19:29   0:00 [kworker/R-ata_s]
root         107  0.0  0.0      0     0 ?        I<   19:29   0:00 [kworker/R-md]
root         108  0.0  0.0      0     0 ?        I<   19:29   0:00 [kworker/R-md_bi]
root         109  0.0  0.0      0     0 ?        I<   19:29   0:00 [kworker/R-edac-]
root         110  0.0  0.0      0     0 ?        I<   19:29   0:00 [kworker/R-devfr]
root         111  0.0  0.0      0     0 ?        S    19:29   0:00 [watchdogd]
root         113  0.0  0.0      0     0 ?        I<   19:29   0:00 [kworker/9:1H-events_highpri]
root         114  0.0  0.0      0     0 ?        S    19:29   0:00 [kswapd0]
root         115  0.0  0.0      0     0 ?        S    19:29   0:00 [ecryptfs-kthread]
root         116  0.0  0.0      0     0 ?        I<   19:29   0:00 [kworker/R-kthro]
root         117  0.0  0.0      0     0 ?        S    19:29   0:00 [irq/123-pciehp]
root         118  0.0  0.0      0     0 ?        I<   19:29   0:00 [kworker/R-acpi_]
root         119  0.0  0.0      0     0 ?        S    19:29   0:00 [hwrng]
